USERS;MAX;MIN;AVG;
  1;   149;   149;   149;
  2;   152;   148;   150;
  3;   155;   149;   152;
  4;   148;   125;   140;
  5;   148;   125;   140;
  6;   160;   136;   150;
  7;   144;   132;   138;
  8;   155;   119;   146;
  9;   179;   129;   149;
 10;   171;   128;   157;
 10;   194;   130;   163;
 10;   200;   162;   187;
 10;   198;   143;   180;
 10;   212;   140;   188;
 10;   197;   144;   165;
 10;   176;   154;   167;
 10;   210;   148;   176;
 10;   231;   160;   185;
 10;   224;   148;   190;
 10;   193;   136;   178;
 10;   176;   135;   159;
 10;   191;   158;   178;
 10;   197;   148;   180;
 10;   201;   147;   165;
 10;   185;   130;   174;
 10;   185;   151;   173;
 10;   205;   138;   168;
 10;   227;   178;   188;
 10;   180;   132;   164;
 10;   193;   143;   165;
 10;   206;   122;   166;
 10;   199;   128;   180;
 10;   206;   154;   180;
 10;   221;   132;   163;
 10;   177;   134;   165;
 10;   192;   148;   165;
 10;   203;   161;   190;
 10;   203;   145;   181;
 10;   234;   152;   182;
 10;   191;   149;   169;
 10;   215;   195;   205;
 10;   191;   154;   170;
 10;   209;   197;   201;
 10;   191;   175;   183;
 10;   199;   154;   181;
 10;   220;   159;   210;
 10;   196;   145;   168;
 10;   189;   176;   184;
 10;   220;   163;   179;
 10;   203;   162;   192;
 10;   200;   151;   172;
 10;   204;   153;   185;
 10;   244;   125;   177;
 10;   190;   167;   179;
 10;   229;   201;   217;
 10;   190;   148;   168;
 10;   197;   135;   179;
 10;   195;   172;   185;
 10;   171;   146;   165;
 10;   202;   178;   183;
